,SampleID,Hours,Biomass (g/L),OD600 (N/A),Phase,SampleVolume (L),Acetate (g/L),Ethanol (g/L),Formate (g/L),Propionate (g/L),Lactate (g/L),Maltose (g/L),Succinate (g/L),Glucose (g/L),psilocin (g/L),psilocybin (g/L),tryptophan (g/L),serotonin (g/L),Baeocystine (g/L),4-hydroxytryptamine (g/L),norbaeocystin (g/L),tryptamine (g/L)
5,27-PSI_F503_C2_R1_T11,76.80444444444444,33.60192,81.4,3.0,0.006,0.0018212910907664623,0.05429128301445463,0.01911911329383476,,,,,0.0129928744672769,0.0254867540913,0.02560460719928,1.179819784e-05,7.727689550000002e-07,0.00064707808275,7.117033795e-06,7.2323846045e-05,0.0020122782834
8,27-PSI_F503_C2_R1_T12,94.5338888888889,84.87168,205.6,3.0,0.006,,0.05523362645243838,0.032965788518926106,0.0013640786555132697,,,0.004051248560439707,0.019455830121899675,0.0418858722405,0.10576448415999999,,,0.0017859386430000002,,,0.0018463416338000002
7,27-PSI_F503_C2_R1_T13,97.09361111111112,73.0656,177.0,3.0,0.006,0.0016889083071938275,0.0512098858703913,0.03272924658824281,,,,,0.016000425682497956,0.0387803098215,0.1179278546416,,,0.00201443279625,,,0.0017585554935999998
6,27-PSI_F503_C2_R1_T14,100.50972222222222,67.2864,163.0,3.0,0.006,,0.059970384936512314,0.03334751825533885,,,,,0.017832648117650233,0.03923296857584999,0.137408624871,,,0.0022521416219999997,,,0.0017909744083999999
9,27-PSI_F503_C2_R1_T15,118.55111111111111,87.72,212.5,3.0,0.006,0.001358362474919295,0.027765084046880842,0.03559330716044499,0.012687808391005593,0.00022443006634762492,,,,0.07580429060265,0.20731542986100002,,,0.00446610315375,,,0.0024808993526
0,27-PSI_F503_C2_R3_T6,46.556666666666665,8.132159999999999,19.7,3.0,0.006,0.0010031490432212606,0.02633377639142621,0.007007622668306283,0.033281884479756364,,,0.0010777294931064573,0.18009158036976233,0.0037130233382099997,0.005415722600080001,,,0.00025170107625000003,,,0.002636211814
1,27-PSI_F503_C2_R3_T7,50.056111111111115,9.57696,23.2,3.0,0.006,0.0012662701037383151,0.014977769152061865,0.006922793837992321,0.0031525777005137604,,,,,0.00429010681959,0.00570878072704,1.7244336799999998e-05,3.1532779500000005e-07,0.000218590407,8.849266200000001e-07,1.624090886e-05,0.0022234882983999996
2,27-PSI_F503_C2_R3_T8,52.97944444444445,11.5584,28.0,3.0,0.006,,0.002048114269407579,0.008895064142791478,,,,,,0.00619207025256,0.00851936501484,,,0.00027328124475,,,0.0023276969886
4,27-PSI_F503_C2_R3_T9,69.95111111111112,22.9104,55.5,3.0,0.006,,0.029447683285797874,0.024942938759618914,,,,,0.016233645292107284,0.02046773584035,0.02080764719532,1.5898526999999997e-05,5.784974299999999e-07,0.00048331632825000006,6.862410345e-06,3.461229376e-05,0.0022205482614
3,27-PSI_F503_C2_R3_T10,73.45055555555555,30.87744,74.8,3.0,0.006,0.0013324614955246357,0.026262606397508582,0.02175152590633343,,,,,0.013186341185606248,0.019746856423349998,0.020065652829640002,,,0.00045949599450000007,,,0.002083252539
5,27-PSI_F503_C2_R3_T11,76.80416666666666,33.8496,82.0,3.0,0.006,,0.032704808809904985,0.022279530997582418,,,,,0.015027422793271598,0.02396535942825,0.022598622401640005,1.1511268739999999e-05,4.16824755e-07,0.0005232231562500001,3.940231810000001e-06,5.4332134724999997e-05,0.0021950716792
8,27-PSI_F503_C2_R3_T12,94.53305555555555,83.71584,202.8,3.0,0.006,0.0013143719226140912,0.04346377887807141,0.03253620662182327,0.0010310812029911461,,,,0.018094612945316686,0.04581348027975,0.0872677943546,,,0.0013669763985000001,,,0.0022750342768
7,27-PSI_F503_C2_R3_T13,97.08833333333334,72.24,175.0,3.0,0.06,,0.032504478456655356,0.04535732303940106,,,,,,0.0404677477926,0.1160561404972,,,0.0018852895665,,,0.0024566965194
6,27-PSI_F503_C2_R3_T14,100.51027777777777,65.8416,159.5,3.0,0.006,0.0021123687639634566,0.03334050622471255,0.03953784777004353,,0.0003842759409405485,,,,0.032634174438449993,0.10272583028,,,0.00193018204575,,,0.0020149555595999997
9,27-PSI_F503_C2_R3_T15,118.55166666666666,86.2752,209.0,3.0,0.006,0.0012490027841418636,0.016750429185751124,0.05106804339810011,0.03296493144994666,0.0006614497638878476,,,,0.06972298125615,0.1802953017096,,,0.00419211121725,,,0.0026203612494
0,27-PSI_F503_C2_R4_T6,46.55694444444445,6.708,16.25,3.0,0.006,0.0008164975409169802,,0.001456228253722677,0.024216482922277474,,,0.00039102561844002703,0.15103160243887692,0.00395864323614,0.00403193554124,,,0.00021055932000000002,,,0.004036550635999999
1,27-PSI_F503_C2_R4_T7,50.05638888888889,10.81536,26.2,3.0,0.006,,0.00952623548216083,0.006872222804535939,0.0024989945186999264,,,0.0007970126580784968,,0.0042549922908899996,0.00452891889552,2.010893074e-05,4.158556e-07,0.00018241538625,1.06395598e-06,2.8658053874999997e-05,0.0032475889031999996
2,27-PSI_F503_C2_R4_T8,52.97888888888889,12.54912,30.4,3.0,0.006,,0.0025173090441238375,0.008822198352650015,,,,0.0012734958857366155,,0.005668222357709999,0.00634725904188,,,0.00022997498625,,,0.0032491638657999996
3,27-PSI_F503_C2_R4_T9,69.93472222222222,24.5616,59.5,3.0,0.006,,0.014850805397480389,0.016909213509245888,,0.0007997675745625255,,,,0.013983491873159996,0.015247305705199998,1.398365817e-05,7.63253615e-07,0.000412309305,5.364096715e-06,5.4208138765e-05,0.0026543198784
4,27-PSI_F503_C2_R4_T10,73.45055555555555,32.693760000000005,79.2,3.0,0.006,0.001158554919589141,0.021550449886640673,0.02005984327103423,,,,0.0024450512405958654,,0.0190067242761,0.019807424100239997,,,0.0005405526855,,,0.0028572785634
5,27-PSI_F503_C2_R4_T11,76.80361111111111,34.840320000000006,84.4,3.0,0.006,,0.0322575800826942,0.031307276131377716,,,,,,0.026444978306999996,0.029153229064920003,1.267848815e-05,7.1928922e-07,0.0007615021567500001,3.8068408399999996e-06,6.7728822205e-05,0.0035165550237999995
8,27-PSI_F503_C2_R4_T12,94.53194444444445,80.57856,195.2,3.0,0.006,,0.03756106259240846,0.03561397059347028,0.001666803612351519,,,,,0.04090992734205,0.0837460257754,,,0.00149096913975,,,0.0025334370928
7,27-PSI_F503_C2_R4_T13,97.08527777777778,84.4176,204.5,3.0,0.06,0.001641217614975116,0.022447543266763115,0.03746062897645837,,,,,,0.039198211524899995,0.10514733043019998,,,0.0018582562575,,,0.002524522452
6,27-PSI_F503_C2_R4_T14,100.51055555555556,71.0016,172.0,3.0,0.006,,0.03496072188871398,0.036317614865433286,,,,,,0.036468327580199994,0.10766276165380001,,,0.00207875175075,,,0.0024432925142
9,27-PSI_F503_C2_R4_T15,118.55277777777778,95.7696,232.0,3.0,0.006,0.0015828376296728806,0.02483832787725555,,0.017635545085570317,0.0008183355296920122,,,,0.06788015281394999,0.19578167755939999,,,0.0050887718122500005,,,0.0030812517036
