,FermID,Product,Substrate,Phase,Yield (g/g),Yield (mol/mol),R²,Std Error,biomass growth rate,ri,,,,,,,,
97,27-PSI_F503_C2_R4,Acetate (pseudo),Biomass (pseudo),3,1.4345508038846053e-05,5.977295016185855e-06,0.9996915557131882,1.7817890625025101e-07,0.051873593,7.441530471212267e-07,,,,,,,,
98,27-PSI_F503_C2_R4,Baeocystine (pseudo),Biomass (pseudo),3,4.972037805449458e-05,4.526306966937059e-06,0.897774897,5.931772405666944e-06,0.051873593,2.579174661021468e-06,,,,,,,,
99,27-PSI_F503_C2_R4,Ethanol (pseudo),Biomass (pseudo),3,0.000243279,0.000129904,0.80678479,4.499849075315699e-05,0.051873593,1.261977160247004e-05,,,,,,,,
100,27-PSI_F503_C2_R4,Formate (pseudo),Biomass (pseudo),3,0.000429105,0.000234489,0.9413478088667296,4.048383351843721e-05,0.051873593,2.2259218825278903e-05,,,,,,,,
101,27-PSI_F503_C2_R4,Glucose (pseudo),Biomass (pseudo),3,,,,,0.051873593,,,,,,,,,
102,27-PSI_F503_C2_R4,Lactate (pseudo),Biomass (pseudo),3,6.46301589896085e-06,1.7850027070218586e-06,1,0,0.051873593,3.352598570772906e-07,,,,,,,,
103,27-PSI_F503_C2_R4,Maltose (pseudo),Biomass (pseudo),3,,,,,0.051873593,,,,,,,,,
104,27-PSI_F503_C2_R4,Propionate (pseudo),Biomass (pseudo),3,0.000141244,4.755159845308989e-05,0.6143112018017187,7.913678783442625e-05,0.051873593,7.3268188129589505e-06,,,,,,,,
105,27-PSI_F503_C2_R4,Succinate (pseudo),Biomass (pseudo),3,7.439063118121364e-05,1.5766429973790436e-05,0.9656190306637876,9.925660035654311e-06,0.051873593,3.858909333909129e-06,,,,,,,,
106,27-PSI_F503_C2_R4,norbaeocystin (pseudo),Biomass (pseudo),3,1.699916639679377e-06,1.6323021716738626e-07,0.993602934,1.363991281797678e-07,0.051873593,8.818078410635647e-08,,,,,,,,
107,27-PSI_F503_C2_R4,psilocin (pseudo),Biomass (pseudo),3,0.000675735,8.137683075342177e-05,0.9672008757069528,4.399511146634199e-05,0.051873593,3.505282005194711e-05,,,,,,,,
108,27-PSI_F503_C2_R4,psilocybin (pseudo),Biomass (pseudo),3,0.001994229,0.000172586,0.9535511733062176,0.000155613,0.051873593,0.000103448,,,,,,,,
109,27-PSI_F503_C2_R4,serotonin (pseudo),Biomass (pseudo),3,1.4651223780357306e-08,2.0454009704147876e-09,0.7996508719967259,7.333603446443915e-09,0.051873593,7.600116211070683e-10,,,,,,,,
110,27-PSI_F503_C2_R4,tryptamine (pseudo),Biomass (pseudo),3,2.0639744530035165e-05,3.169003341897797e-06,0.84176869,3.1638009502022502e-06,0.051873593,1.070657709872562e-06,,,,,,,,
111,27-PSI_F503_C2_R4,tryptophan (pseudo),Biomass (pseudo),3,1.6833589778082917e-07,2.0277460999943184e-08,0.8449966309891654,7.209743591603215e-08,0.051873593,8.732187869142057e-09,,,,,,,,
112,27-PSI_F504_C1_R1,4-hydroxytryptamine (pseudo),Biomass (pseudo),3,1.558873064471201e-07,2.1762826959872617e-08,0.8588375745744202,6.319966707109733e-08,0.049444516,7.707772391941246e-09,,,,,,,,
113,27-PSI_F504_C1_R1,Acetate (pseudo),Biomass (pseudo),3,0.001440402,0.000600168,0.8770299213193399,0.000203858,0.049444516,7.121999380222462e-05,,,,,,,,
114,27-PSI_F504_C1_R1,Baeocystine (pseudo),Biomass (pseudo),3,0.000152465,1.3879655097318494e-05,0.9936503785412508,4.606564845428379e-06,0.049444516,7.538539612515526e-06,,,,,,,,
115,27-PSI_F504_C1_R1,Ethanol (pseudo),Biomass (pseudo),3,0.00069575,0.000371509,0.9999999999999998,0,0.049444516,3.440100190266777e-05,,,,,,,,
